Names
Time Warner Cable
Covidien
salesforce.com
Windstream Holdings
MetLife
Monsanto
Tapestry
Fluorrp
Dun & Bradstreetrp
Edwards Lifesciencesrp
Ameriprise Financial
Xcel Energy
Rockwellllins
TechnipFMC
Zimmer Biomet Holdings
CBRE
Mastercard
GameStoprp
CarMax
Intercontinental Exchange
Fidelity National Information Services I
Chipotle Mexican Grill
WestRock MWV
Pepco Holdings
Wynn Resorts
DIRECTV
Hospira
Assurant
NRG Energy
Genworth Financial
T-Mobile US
Regions Financialrp
Teradatarp
Mosaic
Expedia
Discovery
CF Holdings
Viacom
Leidos Holdings
Wyndham Destinations
Spectra Energyrp
First Solar
Valaris plc
Mead Johnson Nutrition
LSIrp
TEnnectivity
Discover Financial Services
TripAdvisor
Keurig Dr Pepper
Scripps Networks Interactive
Visa
CareFusionrp
Xylem/NY
Marathon Petroleumrp
WPX Energy
Seagate Technology
Western Digitalrp
O-I Glass
Fossil
Pentair
Monster Beverage 1990rp
PetSmart
Alexion Pharmaceuticals
Crown Castle Internationalrp
Aptiv
Garmin
Cleveland-Cliffs
Big Lots
PPG
BMC Software
Gilead Sciences
Federated Hermes
Lorillard
Pioneer Natural Resources
Lam Researchrp
AbbVie
Kansas City Southern
PVHrp
AMETEK
Regeneron Pharmaceuticals
Allegion plc
Transocean
Brookfield Property REIT
Mohawk
Vertex Pharmaceuticals
Facebook
Delta Air Lines
Macerich
Newsrp
Capri Holdings
Alliance Data Systemsrp
Zoetis
General Motors
Nielsen NV
Broadcom
HCA Healthcare
Under Armour
Royal Caribbean Cruises
Verisk Analytics
Qorvo
SL Green Realtyrp
Hanesbrands
American Airlines
Universal Health Services
Skyworks Solutions
Activision Blizzard
Kraft Heinz
Henry Schein
Affiliated Managers
Signet Jewelers
Monster Beveragerp
Level 3mmunications
Tractor Supply
Essex Property Trust
Realtyomerp
Westrock
JB Hunt Transport Services
United Rentals
United Airlines Holdings
Baxalta
Navientrp
Mallinckrodt
Keurig Green Mountain
Martin Marietta Materials
PayPal Holdings
Columbia Pipeline
Endo International
Advance Auto Parts
Nielsen Holdings
Cimarex Energy
Equinix
Extra Space Storage
Concho Resources
American Water Works
CSRA
Hewlett Packard Enterprise
Fortune Brands Home & Security
UDR
Synchrony Financial
Fortiverp
Arthur J Gallagher &
Willis Towers Watson
Foot Locker
Chartermmunications
Ulta Beauty
Alaska Air
Hologic
Citizens Financial
Howmet Aerospace
TransDigm
Coopers
Mid-America Apartmentmmunities
Mettler-Toledo International
Albemarlerp
Church & Dwight
Federal Realty Investment Trust
Alliant Energyrp
Centenerp
Envision Healthcarerp
Coty
Global Payments
Illumina
Acuity Brands
LKQrp
Digital Realty Trust
Brighthouse Financial
DuPont de Nemours
Packagingrp of America
DXC Technology
Baker Hughes
Hilton Worldwide Holdings
Cboe Global Markets
IQVIA Holdings
Gartner
Raymond James Financial
IDEXX Laboratories
Norwegian Cruise Line Holdings
A O Smithrp
Incyterp
Cadence Design Systems
Synopsys
ANSYS
SBAmmunicationsrp
ResMed
IHS Markit
Duke Realtyrp
MGM Resorts International
Alexandria Real Estate Equities
Regency Centersrp
DISH Networkrp
Everest Re
Align Technology
FleetCor Technologies
MSCI
IPG Photonicsrp
Atmos Energyrp
CDWrp/DE
Broadridge Financial Solutions
IDEXrp
Rollins
W R Berkleyrp
Arista Networks
Corteva
Keysight Technologies
First Republic Bank/CA
Lamb Weston Holdings
Foxrp
Linde
Twitter
STERIS
NVR
HollyFrontierrp
Jack Henry & Associates
SVB Financial
Take-Two Interactive Software
MarketAxess Holdings
Teleflex
Celaneserp
Huntington Ingalls
Zebra Technologiesrp
Live Nation Entertainment
Evergy
Copart
Fortinet
Westinghouse Air Brake Technologiesrp
Diamondback Energy
Maxim Integrated Products
ServiceNow
Amcor
ABIOMED
Dow
Las Vegas Sandsrp
Old Dominion Freight Line
WellCare Health Plans
Carrier Globalrp
Otis Worldwiderp
Paycom Software
DexCom
Catalent
West Pharmaceutical Services
Bio-Rad Laboratories
Domino's Pizza
Tyler Technologies
Etsy
Ingersoll Rand
Teledyne Technologies
